STATION,NAME,DATE,DAEV,DAWM,EVAP,MDEV,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-13,,,0.91,,,,,0,0,0,122,93,120,54.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-14,,,0.76,,,,,0,0,0,121,89,118,80.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-15,,,0.71,,,,,0,0,0,120,95,118,70.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-16,,,0.72,,,,,0,0,0,121,92,120,34.2
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-17,,,0.79,,,,,0,0,0,121,95,121,72.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-18,,,0.86,,,,,0,0,0,122,101,120,62.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-19,,,0.85,,,,,0,0,0,121,97,118,78.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-20,,,0.76,,,,,0,0,0,120,92,119,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-21,,,0.76,,,,,0,0,0,121,87,118,55.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-22,,,1.05,,,,,0,0,0,119,97,115,110
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-23,,,1.18,,,,,0,0,0,118,97,107,190.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-24,,,1.24,,,,,0,0,0,113,94,112,172.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-25,,,0.9,,,,,0,0,0,114,97,113,103.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-26,,,0.75,,,,,0,0,0,116,96,115,83.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-27,,,0.75,,,,,0,0,0,119,95,117,113.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-28,,,0.85,,,,,0,0,0,120,93,118,55.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-29,,,1.16,,,,,0,0,0,120,96,112,142.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-30,,,1.02,,,,,0,0,0,114,92,111,154.7
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-07-31,,,1.01,,,,,0,0,0,114,92,112,134.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-01,,,0.76,,,,,0,0,0,115,91,113,98.8
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-02,,,0.75,,,,,0,0,0,116,91,113,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-03,,,0.92,,,,,0,0,0,117,91,113,90.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-04,,,0.9,,,,,0,0,0,116,91,116,172.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-05,,,0.62,,,,,0,0,0,114,96,113,124.3
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-06,,,0.68,,,,,0,0,0,114,93,112,60.9
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-07,,,0.67,,,,,0,0,0,116,94,114,54.1
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1961-08-08,,,0.75,,,,,0,0,0,117,94,116,49.7
